State,Region,City,Year,Population,"Violent
crime",Nonviolent,Murder,Forcible rape,Robbery,Aggravated assault,Property,Burglary,Larceny/theft,Motor vehicle theft,Arson2
ALABAMA,SOUTH,BIRMINGHAM,2008,228314,1525,19150,35,128,699,752,9825,2266,6668,1142,76
ALABAMA,SOUTH,BIRMINGHAM,2009,228314,1330,16773,32,106,549,725,9108,2062,6121,745,63
ALABAMA,SOUTH,BIRMINGHAM,2010,232880,1357,17108,33,103,570,768,8693,2185,6129,783,67
ALABAMA,SOUTH,BIRMINGHAM,2011,237538,1384,17450,34,102,544,783,9215,2291,6369,806,64
ALABAMA,SOUTH,BIRMINGHAM,2012,242289,1412,17799,35,110,594,777,9399,2168,6496,838,68
ALABAMA,SOUTH,HUNTSVILLE,2008,172794,534,9842,7,47,175,347,5364,1075,3430,549,0
ALABAMA,SOUTH,HUNTSVILLE,2009,172794,587,9301,8,50,206,348,4963,1137,3151,508,27
ALABAMA,SOUTH,HUNTSVILLE,2010,176250,599,9488,8,49,216,369,4778,1160,3151,529,27
ALABAMA,SOUTH,HUNTSVILLE,2011,179775,611,9679,8,52,208,363,5019,1206,3468,510,29
ALABAMA,SOUTH,HUNTSVILLE,2012,183371,623,9874,8,54,214,381,5071,1277,3473,525,29
ALABAMA,SOUTH,MOBILE3,2008,251041,598,14146,26,11,453,156,7468,1770,5121,615,59
ALABAMA,SOUTH,MOBILE3,2009,251041,544,14038,17,12,400,149,7415,1895,4981,431,51
ALABAMA,SOUTH,MOBILE3,2010,256062,555,14319,17,12,392,150,7706,1860,5129,460,51
ALABAMA,SOUTH,MOBILE3,2011,261183,566,14606,17,12,416,163,7424,1972,5481,461,55
ALABAMA,SOUTH,MOBILE3,2012,266407,577,14899,17,12,409,160,7795,1992,5337,471,56
ALABAMA,SOUTH,MONTGOMERY,2008,204398,450,11802,12,26,244,204,6491,1588,4339,449,0
ALABAMA,SOUTH,MONTGOMERY,2009,204398,433,10737,19,48,235,159,5781,1685,3550,462,33
ALABAMA,SOUTH,MONTGOMERY,2010,208486,442,10953,19,53,235,164,5842,1672,3725,471,32
ALABAMA,SOUTH,MONTGOMERY,2011,212656,451,11172,19,53,244,158,6015,1706,3694,495,33
ALABAMA,SOUTH,MONTGOMERY,2012,216909,460,11395,19,54,249,169,5794,1789,3732,495,37
ARIZONA,WEST,CHANDLER    ,2008,253076,405,7667,5,28,114,272,4191,662,2782,480,48
ARIZONA,WEST,CHANDLER    ,2009,253076,389,7676,3,25,110,286,3857,688,3013,292,41
